MID,Country
219,Denmark
376,Saint Vincent and the Grenadines
273,Russia
231,Faroe Islands
538,Marshall Islands
265,Sweden
246,Netherlands
314,Barbados
354,Panama
256,Malta
235,United Kingdom
277,Lithuania
636,Liberia
236,Gibraltar
567,Thailand
230,Finland
563,Singapore
311,Bahamas
305,Antigua and Barbuda
248,Malta
357,Panama
275,Latvia
352,Panama
309,Bahamas
304,Antigua and Barbuda
477,Hong Kong
341,Saint Kitts and Nevis
511,Palau
258,Norway
244,Netherlands
268,San Marino
259,Norway
255,Madeira (Portugal)
210,Cyprus
276,Estonia
564,Singapore
667,Sierra Leone
232,United Kingdom
374,Trinidad and Tobago
353,Panama
229,Malta
249,Malta
730,Chile
566,Singapore
310,Bermuda
351,Panama
370,Panama
261,Poland
250,Ireland
306,Netherlands Antilles (Curaçao)
269,Switzerland
325,Dominica
319,Cayman Islands
266,Greenland
211,Germany
237,Greece
372,Ireland
412,China
428,Latvia
613,Cameroon
308,Bahamas
373,Panama
215,Cyprus
274,North Macedonia
629,Kenya
205,Belgium
565,Singapore
212,Cyprus
220,Denmark
226,France
671,Togo
253,Estonia
245,Netherlands
257,Norway
375,Saint Vincent and the Grenadines
334,Mexico
218,Germany
240,Greece
574,Vietnam
413,China
572,Tuvalu
371,Panama
209,Cyprus
247,Italy
548,Philippines
403,Saudi Arabia
271,Turkey
356,Panama
518,Cook Islands
367,United States
241,Greece
645,Mauritius
338,United States (Guam)
355,Panama
654,Saint Helena
238,Croatia
312,Belize
377,Saint Kitts and Nevis
466,Nigeria
214,Spain
262,Montenegro
556,French Polynesia
632,Guinea
234,United Kingdom
239,Greece
414,China
620,Comoros
642,Libya
419,Sri Lanka
668,Sierra Leone
621,Djibouti
431,Japan
626,Gabon
368,United States
299,United States (Puerto Rico)
224,Spain
440,South Korea
630,Democratic Republic of the Congo
441,South Korea
447,Kuwait
225,France
227,France
577,Vanuatu
405,India
544,Romania
316,Canada
417,Kyrgyzstan
207,Bulgaria
555,Niue
228,France
605,Algeria
264,Romania
463,Azerbaijan
536,Northern Mariana Islands (United States)
616,Poland
664,Montserrat
750,Guyana
366,United States
576,Vanuatu
525,Indonesia
457,Maldives
233,United Kingdom
222,Italy
677,Solomon Islands
369,United States (Alaska)
533,Malaysia
438,Jordan
423,Azerbaijan
303,United States (Alaska)
213,Algeria
263,Portugal
251,Iceland
488,Cayman Islands
578,Norway
444,South Korea
327,Dominica
317,Canada
678,Somalia
270,Georgia
514,Cambodia
503,Australia
777,Bolivia
285,Guam (United States)
735,Guatemala
713,Bolivia
